"code_alpha2";"code_alpha3_t";"code_alpha3_b";"name_en";"name_de";"name_fr"
"si";"sin";"sin";"Sinhala";"Singhalesisch";"Cingalais"
"sk";"slk";"slo";"Slovak";"Slowakisch";"Slovaque"
"sl";"slv";"slv";"Slovenian";"Slowenisch";"Slovène"
"so";"som";"som";"Somali";"Somali";"Somali"
"st";"sot";"sot";"Southern Sotho";"Sesotho";"Sotho du Sud"
"es";"spa";"spa";"Spanish";"Spanisch";"Espagnol"
"su";"sun";"sun";"Sundanese";"Sundanesisch";"Soundanais"
"sw";"swa";"swa";"Swahili";"Swahili";"Swahili"
"ss";"ssw";"ssw";"Swati";"Siswati";"Swati"
"sv";"swe";"swe";"Swedish";"Schwedisch";"Suédois"
"tl";"tgl";"tgl";"Tagalog";"Tagalog";"Tagalog"
"ty";"tah";"tah";"Tahitian";"Tahitianisch";"Tahitien"
"tg";"tgk";"tgk";"Tajik";"Tadschikisch";"Tadjik"
"ta";"tam";"tam";"Tamil";"Tamil";"Tamoul"
"tt";"tat";"tat";"Tatar";"Tatarisch";"Tatar"
"te";"tel";"tel";"Telugu";"Telugu";"Télougou"
"th";"tha";"tha";"Thai";"Thai";"Thaï"
"bo";"bod";"tib";"Tibetan";"Tibetisch";"Tibétain"
"ti";"tir";"tir";"Tigrinya";"Tigrinya";"Tigrigna"
"to";"ton";"ton";"Tonga (Tonga Islands)";"Tongaisch";"Tongien"
"ts";"tso";"tso";"Tsonga";"Xitsonga";"Tsonga"
"tn";"tsn";"tsn";"Tswana";"Setswana";"Tswana"
"tr";"tur";"tur";"Turkish";"Türkisch";"Turc"
"tk";"tuk";"tuk";"Turkmen";"Turkmenisch";"Turkmène"
"tw";"twi";"twi";"Twi";"Twi";"Twi"
"ug";"uig";"uig";"Uighur";"Uigurisch";"Ouïghour"
"uk";"ukr";"ukr";"Ukrainian";"Ukrainisch";"Ukrainien"
"ur";"urd";"urd";"Urdu";"Urdu";"Ourdou"
"uz";"uzb";"uzb";"Uzbek";"Usbekisch";"Ouzbek"
"ve";"ven";"ven";"Venda";"Tshivenda";"Venda"
"vi";"vie";"vie";"Vietnamese";"Vietnamesisch";"Vietnamien"
"vo";"vol";"vol";"Volapük";"Volapük";"Volapük"
"wa";"wln";"wln";"Walloon";"Wallonisch";"Wallon"
"cy";"cym";"wel";"Welsh";"Walisisch";"Gallois"
"wo";"wol";"wol";"Wolof";"Wolof";"Wolof"
"xh";"xho";"xho";"Xhosa";"isiXhosa";"Xhosa"
"ii";"iii";"iii";"Sichuan Yi";"Yi";"Yi"
"yi";"yid";"yid";"Yiddish";"Jiddisch";"Yiddish"
"yo";"yor";"yor";"Yoruba";"Yoruba";"Yoruba"
"za";"zha";"zha";"Zhuang";"Zhuang";"Zhuang"
"zu";"zul";"zul";"Zulu";"isiZulu";"Zoulou"
